DATE,PRCP,TAVG,TMAX,TMIN,WIND_MAX(kph),WIND_MIN(kph),AVG_WIND(kph),HUMIDITY_(%),Weather
2013-03-10,0.0,25.1,31.1,19.1,18.4,18.4,9.2,47.1,Clear
2013-03-11,0.0,24.0,31.1,17.1,13.0,13.0,6.5,65.3,Clear
2013-03-12,0.0,23.9,31.1,17.0,14.8,14.8,7.4,68.4,Partially cloudy
2013-03-13,0.0,24.3,32.2,16.3,11.2,11.2,5.6,61.6,Partially cloudy
2013-03-14,0.0,22.6,28.2,15.9,20.4,20.4,10.2,60.6,Partially cloudy
2013-03-15,0.0,22.1,28.9,14.4,18.4,18.4,9.2,57.7,Clear
2013-03-16,0.0,22.4,28.3,14.0,13.0,13.0,6.5,60.0,Partially cloudy
2013-03-17,0.0,23.2,29.9,15.7,29.5,22.3,25.9,60.8,Clear
2013-03-18,0.0,22.5,29.5,15.1,40.7,29.5,35.1,65.3,Clear
2013-03-19,0.0,24.1,31.4,16.1,26.9,26.9,13.45,66.7,Clear
2013-03-20,0.51,26.3,34.1,18.1,16.6,16.6,8.3,61.7,"Rain, Partially cloudy"
2013-03-21,0.1,25.8,34.1,18.0,23.3,23.3,11.65,53.6,"Rain, Partially cloudy"
2013-03-22,0.0,24.9,31.4,16.2,20.9,20.9,10.45,51.4,Partially cloudy
2013-03-23,0.0,27.2,35.7,20.7,20.6,20.6,10.3,47.2,Partially cloudy
2013-03-24,0.0,27.6,34.1,23.0,18.8,18.8,9.4,47.1,Partially cloudy
2013-03-25,0.0,23.4,28.7,17.0,22.3,22.3,11.15,55.5,Partially cloudy
2013-03-26,0.0,22.7,28.9,15.2,22.3,22.3,11.15,58.0,Partially cloudy
2013-03-27,0.0,23.1,29.9,16.1,18.4,18.4,9.2,57.0,Partially cloudy
2013-03-28,3.403,24.6,34.8,17.1,40.7,22.3,31.5,60.4,"Rain, Partially cloudy"
2013-03-29,6.0,22.3,27.3,18.4,37.1,20.1,28.6,69.0,"Rain, Partially cloudy"
2013-03-30,0.0,23.2,29.1,16.0,25.8,25.8,12.9,62.7,Clear
2013-03-31,0.0,25.0,31.1,18.1,17.3,17.3,8.65,58.9,Clear
2013-04-01,0.0,26.2,34.0,18.9,16.6,16.6,8.3,50.4,Clear
2013-04-02,7.656,26.8,35.3,19.5,16.8,16.8,8.4,48.0,"Rain, Partially cloudy"
2013-04-03,0.0,25.1,31.6,18.1,16.3,16.3,8.15,54.5,Partially cloudy
2013-04-04,0.0,25.7,32.7,18.1,33.5,25.9,29.7,46.2,Clear
2013-04-05,0.0,25.9,33.1,17.1,37.1,24.8,30.95,44.2,Clear
2013-04-06,0.0,26.6,34.1,17.1,33.5,25.9,29.7,40.6,Clear
2013-04-07,0.0,28.5,38.4,18.6,33.5,24.1,28.8,33.0,Clear
2013-04-08,0.0,29.5,37.1,20.0,18.4,18.4,9.2,34.7,Clear
2013-04-09,0.0,30.9,38.1,23.1,11.5,11.5,5.75,32.0,Partially cloudy
2013-04-10,0.2,30.6,36.6,25.0,27.7,27.7,13.85,30.8,"Rain, Partially cloudy"
2013-04-11,0.0,29.4,35.5,21.4,18.4,18.4,9.2,32.8,Partially cloudy
2013-04-12,0.0,29.9,35.1,23.0,21.0,21.0,10.5,31.0,Clear
2013-04-13,0.0,30.5,36.1,22.9,17.6,17.6,8.8,30.8,Partially cloudy
2013-04-14,2.0,28.7,37.7,23.1,22.3,22.3,11.15,39.7,"Rain, Partially cloudy"
2013-04-15,0.0,28.6,37.5,21.1,17.6,17.6,8.8,41.7,Clear
2013-04-16,0.0,31.7,40.1,21.9,33.5,27.7,30.6,30.7,Partially cloudy
2013-04-17,0.0,29.9,36.4,21.0,22.3,22.3,11.15,27.4,Clear
2013-04-18,0.0,30.6,37.5,21.7,12.4,12.4,6.2,23.7,Clear
2013-04-19,0.0,30.3,37.3,21.4,14.8,14.8,7.4,27.2,Clear
2013-04-20,0.0,30.6,37.7,22.2,16.0,16.0,8.0,27.8,Partially cloudy
2013-04-21,0.0,28.4,37.0,23.9,37.1,27.7,32.4,39.5,Partially cloudy
2013-04-22,0.0,26.9,31.7,21.1,33.5,22.3,27.9,49.5,Partially cloudy
2013-04-23,0.0,29.1,34.0,23.3,14.0,14.0,7.0,42.8,Partially cloudy
2013-04-24,0.0,30.8,36.0,23.8,11.2,11.2,5.6,38.8,Clear
2013-04-25,0.0,31.5,37.7,24.8,38.9,20.5,29.7,39.1,Partially cloudy
2013-04-26,0.0,30.9,34.3,25.4,27.5,27.5,13.75,41.5,Partially cloudy
2013-04-27,0.0,31.8,37.7,24.2,38.9,24.1,31.5,32.7,Partially cloudy
2013-04-28,0.0,31.2,37.0,23.4,25.9,25.9,12.95,29.6,Partially cloudy
2013-04-29,0.0,32.8,39.1,26.5,17.3,17.3,8.65,24.3,Partially cloudy
2013-04-30,0.0,32.9,40.1,24.9,18.4,18.4,9.2,31.3,Partially cloudy
2013-05-01,0.0,31.5,38.1,24.1,24.5,24.5,12.25,18.1,Clear
2013-05-02,0.0,30.2,36.3,22.1,37.1,27.4,32.25,20.0,Clear
2013-05-03,0.0,31.0,38.0,21.7,38.9,20.5,29.7,20.8,Clear
2013-05-04,0.0,32.9,41.5,21.6,16.6,16.6,8.3,23.6,Clear
2013-05-05,0.0,33.6,41.2,26.2,18.4,18.4,9.2,24.5,Partially cloudy
2013-05-06,0.0,33.7,43.0,27.4,16.6,16.6,8.3,33.1,Partially cloudy
2013-05-07,0.0,33.8,40.7,26.3,21.9,21.9,10.95,30.9,Clear
2013-05-08,0.0,34.5,43.5,24.4,24.1,24.1,12.05,23.1,Clear
2013-05-09,0.0,34.8,41.6,26.0,18.4,18.4,9.2,23.6,Clear
2013-05-10,0.0,34.2,40.0,26.3,17.8,17.8,8.9,25.7,Partially cloudy
2013-05-11,0.0,31.2,37.3,27.1,33.5,27.7,30.6,32.1,Partially cloudy
2013-05-12,0.5,30.2,35.7,26.0,14.8,14.8,7.4,41.2,"Rain, Partially cloudy"
2013-05-13,0.0,30.8,37.1,24.1,14.5,14.5,7.25,45.3,Partially cloudy
2013-05-14,0.0,33.7,42.1,25.6,33.5,46.4,39.95,31.8,Partially cloudy
2013-05-15,0.0,33.8,41.1,25.9,16.3,16.3,8.15,29.6,Partially cloudy
2013-05-16,0.1,34.4,40.6,27.2,33.5,21.2,27.35,27.0,Rain
2013-05-17,0.0,34.4,42.1,25.4,20.9,20.9,10.45,25.0,Clear
2013-05-18,0.0,35.9,44.1,26.2,33.5,38.2,35.85,22.2,Clear
2013-05-19,0.0,36.7,45.0,27.2,40.7,25.8,33.25,19.2,Clear
2013-05-20,0.0,37.4,44.0,30.9,22.7,22.7,11.35,17.7,Clear
2013-05-21,0.0,37.1,46.0,29.1,33.5,24.3,28.9,18.4,Clear
2013-05-22,0.0,37.2,46.2,30.0,33.5,25.3,29.4,18.2,Clear
2013-05-23,0.0,38.2,46.1,31.0,37.1,24.8,30.95,19.1,Clear
2013-05-24,0.0,38.5,47.7,31.2,33.5,27.9,30.7,22.3,Clear
2013-05-25,0.0,38.1,43.1,31.8,21.1,21.1,10.55,23.7,Clear
2013-05-26,0.0,37.1,43.1,30.9,22.3,22.3,11.15,23.6,Clear
2013-05-27,0.0,36.1,42.1,31.1,22.3,22.3,11.15,32.0,Partially cloudy
2013-05-28,0.0,36.5,44.0,30.5,33.5,21.7,27.6,29.4,Partially cloudy
2013-05-29,0.0,36.0,42.0,29.3,19.8,19.8,9.9,22.3,Partially cloudy
2013-05-30,0.0,34.7,40.0,29.1,33.5,19.7,26.6,22.4,Clear
2013-05-31,0.0,34.0,42.6,26.3,24.3,24.3,12.15,34.9,Clear
2013-06-01,0.0,31.8,37.2,27.1,33.5,25.9,29.7,52.7,Clear
2013-06-02,0.0,32.4,37.0,27.1,21.7,21.7,10.85,53.7,Clear
2013-06-03,0.0,33.8,39.8,29.1,18.4,18.4,9.2,53.0,Partially cloudy
2013-06-04,0.0,35.4,42.1,28.9,13.0,13.0,6.5,48.2,Clear
2013-06-05,0.0,38.2,45.1,31.9,21.5,21.5,10.75,34.2,Partially cloudy
2013-06-06,12.759,34.1,42.4,28.5,46.4,27.7,37.05,53.8,"Rain, Partially cloudy"
2013-06-07,0.0,33.4,39.1,27.6,19.6,19.6,9.8,53.2,Partially cloudy
2013-06-08,0.1,35.1,42.1,30.0,20.6,20.6,10.3,53.4,"Rain, Partially cloudy"
2013-06-09,0.0,35.7,41.1,31.5,20.5,20.5,10.25,51.0,Partially cloudy
2013-06-10,0.1,36.8,44.1,31.2,33.5,18.4,25.95,43.6,"Rain, Partially cloudy"
2013-06-11,0.7,31.6,41.6,29.1,37.1,27.7,32.4,59.7,"Rain, Partially cloudy"
2013-06-12,0.0,32.8,38.0,27.9,14.8,14.8,7.4,59.3,Partially cloudy
2013-06-13,0.0,30.7,33.1,27.0,21.5,21.5,10.75,69.3,Partially cloudy
2013-06-14,10.208,31.4,39.4,28.0,50.0,24.1,37.05,64.0,"Rain, Partially cloudy"
2013-06-15,5.104,30.6,36.1,24.8,46.4,23.3,34.85,68.2,"Rain, Partially cloudy"
2013-06-16,38.279,27.0,32.6,24.0,26.6,26.6,13.3,90.9,"Rain, Partially cloudy"
2013-06-17,26.37,27.2,30.1,25.0,16.6,16.6,8.3,87.2,"Rain, Partially cloudy"
2013-06-18,0.1,28.1,31.6,25.0,14.8,14.8,7.4,90.8,"Rain, Partially cloudy"
2013-06-19,4.253,29.8,35.1,25.1,15.3,15.3,7.65,73.6,"Rain, Partially cloudy"
2013-06-20,0.5,33.0,39.0,26.8,13.0,13.0,6.5,56.7,Rain
2013-06-21,0.0,35.4,41.0,28.8,33.5,19.0,26.25,48.7,Clear
2013-06-22,0.0,35.5,40.1,29.5,40.7,20.5,30.6,43.9,Clear
2013-06-23,0.0,35.3,40.1,31.3,22.3,22.3,11.15,53.6,Partially cloudy
2013-06-24,0.0,33.8,39.1,30.1,33.5,22.3,27.9,60.9,Partially cloudy
2013-06-25,0.0,30.5,34.4,28.1,24.1,24.1,12.05,74.9,Partially cloudy
2013-06-26,0.4,30.5,33.9,28.0,14.8,14.8,7.4,75.8,"Rain, Partially cloudy"
2013-06-27,1.701,31.4,37.1,29.0,20.2,20.2,10.1,70.5,"Rain, Partially cloudy"
2013-06-28,0.0,30.6,36.0,26.0,20.5,20.5,10.25,72.0,Partially cloudy
2013-06-29,3.403,32.7,39.0,29.0,33.5,25.4,29.45,64.7,"Rain, Partially cloudy"
2013-06-30,0.0,32.5,37.1,28.1,33.5,20.9,27.2,57.1,Partially cloudy
2013-07-01,0.4,33.8,40.1,28.0,22.3,22.3,11.15,58.7,"Rain, Partially cloudy"
2013-07-02,0.0,32.9,36.8,29.0,22.3,22.3,11.15,64.7,Partially cloudy
2013-07-03,1.871,30.8,33.8,27.0,17.4,17.4,8.7,76.3,"Rain, Partially cloudy"
2013-07-04,0.0,32.1,36.6,29.1,21.3,21.3,10.65,70.9,Partially cloudy
2013-07-05,0.0,31.8,36.1,29.0,20.6,20.6,10.3,71.9,Partially cloudy
2013-07-06,0.0,30.8,34.5,28.0,22.3,22.3,11.15,75.8,Partially cloudy
2013-07-07,5.6,30.2,33.0,28.1,22.3,22.3,11.15,81.1,"Rain, Partially cloudy"
2013-07-08,0.0,29.7,35.1,27.1,14.8,14.8,7.4,82.7,Partially cloudy
2013-07-09,70.552,29.5,34.9,25.0,16.1,16.1,8.05,83.1,"Rain, Cloudy"
2013-07-10,1.701,28.7,34.1,24.9,27.7,27.7,13.85,85.1,"Rain, Partially cloudy"
2013-07-11,1.701,31.0,36.0,27.0,18.4,18.4,9.2,77.3,"Rain, Partially cloudy"
2013-07-12,17.864,28.8,31.9,27.1,18.4,18.4,9.2,89.5,"Rain, Partially cloudy"
2013-07-13,0.0,31.3,35.4,27.5,15.5,15.5,7.75,76.4,Partially cloudy
2013-07-14,3.403,31.0,35.4,26.8,14.0,14.0,7.0,77.6,"Rain, Partially cloudy"
2013-07-15,0.0,31.3,35.5,28.0,18.4,18.4,9.2,76.7,Partially cloudy
2013-07-16,28.072,30.2,34.0,27.4,10.9,10.9,5.45,81.5,"Rain, Partially cloudy"
2013-07-17,0.6,30.6,34.0,27.9,13.0,13.0,6.5,83.6,"Rain, Partially cloudy"
2013-07-18,5.955,30.7,34.1,27.0,11.2,11.2,5.6,84.1,"Rain, Partially cloudy"
2013-07-19,0.0,31.2,35.1,28.1,18.4,18.4,9.2,76.9,Partially cloudy
2013-07-20,120.312,27.1,31.3,24.0,18.4,18.4,9.2,92.2,"Rain, Cloudy"
2013-07-21,0.2,28.8,33.0,25.9,13.7,13.7,6.85,86.4,"Rain, Partially cloudy"
2013-07-22,0.851,28.7,31.4,26.6,16.6,16.6,8.3,91.0,"Rain, Partially cloudy"
2013-07-23,0.766,30.4,34.8,26.1,14.8,14.8,7.4,80.0,"Rain, Partially cloudy"
2013-07-24,16.162,30.5,36.2,28.0,18.4,18.4,9.2,83.4,"Rain, Partially cloudy"
2013-07-25,9.0,28.6,34.2,26.0,20.5,20.5,10.25,88.4,"Rain, Partially cloudy"
2013-07-26,0.0,29.6,34.1,25.1,16.6,16.6,8.3,81.3,Partially cloudy
2013-07-27,14.461,29.5,34.7,27.0,13.3,13.3,6.65,85.5,"Rain, Partially cloudy"
2013-07-28,0.0,31.5,35.6,27.1,11.2,11.2,5.6,77.5,Partially cloudy
2013-07-29,24.669,31.2,35.1,27.1,14.8,14.8,7.4,79.2,"Rain, Partially cloudy"
2013-07-30,0.5,29.9,32.6,27.5,37.1,16.6,26.85,85.9,"Rain, Partially cloudy"
2013-07-31,0.5,28.3,32.3,26.0,16.2,16.2,8.1,86.3,"Rain, Partially cloudy"
2013-08-01,0.1,29.6,33.6,26.0,14.8,14.8,7.4,83.9,"Rain, Partially cloudy"
2013-08-02,0.0,30.8,34.2,27.1,33.5,24.1,28.8,78.1,Partially cloudy
2013-08-03,0.0,31.2,35.5,28.0,20.5,20.5,10.25,76.5,Partially cloudy
2013-08-04,0.2,31.7,35.6,28.1,13.0,13.0,6.5,72.7,"Rain, Partially cloudy"
2013-08-05,5.955,29.5,33.4,27.9,12.6,12.6,6.3,85.9,"Rain, Partially cloudy"
2013-08-06,13.76,27.3,30.1,26.0,13.0,13.0,6.5,94.0,"Rain, Cloudy"
2013-08-07,0.51,27.9,30.0,25.9,11.2,11.2,5.6,92.7,"Rain, Partially cloudy"
2013-08-08,14.208,28.2,31.0,27.0,15.8,15.8,7.9,89.9,"Rain, Partially cloudy"
2013-08-09,1.701,27.1,28.7,26.0,13.0,13.0,6.5,90.3,"Rain, Partially cloudy"
2013-08-10,11.058,28.7,33.8,26.0,13.0,13.0,6.5,86.9,"Rain, Partially cloudy"
2013-08-11,0.1,28.9,32.2,26.2,15.0,15.0,7.5,88.3,"Rain, Partially cloudy"
2013-08-12,0.0,29.7,32.5,26.6,13.0,13.0,6.5,84.9,Partially cloudy
2013-08-13,0.1,29.3,32.5,27.1,33.5,22.3,27.9,87.1,"Rain, Partially cloudy"
2013-08-14,5.955,29.0,33.8,26.0,18.4,18.4,9.2,85.3,"Rain, Partially cloudy"
2013-08-15,0.0,27.5,30.0,26.0,16.6,16.6,8.3,89.4,Cloudy
2013-08-16,52.74,27.0,30.2,25.4,14.0,14.0,7.0,93.9,"Rain, Partially cloudy"
2013-08-17,44.428,27.5,31.1,25.0,11.4,11.4,5.7,93.3,"Rain, Cloudy"
2013-08-18,0.17,28.1,31.4,25.9,12.2,12.2,6.1,89.9,"Rain, Partially cloudy"
2013-08-19,12.701,28.3,32.1,26.1,16.7,16.7,8.35,91.9,"Rain, Partially cloudy"
2013-08-20,86.636,27.5,32.5,26.0,18.4,18.4,9.2,92.5,"Rain, Partially cloudy"
2013-08-21,0.425,28.8,33.8,25.5,16.6,16.6,8.3,86.7,"Rain, Partially cloudy"
2013-08-22,3.232,27.9,31.3,26.0,13.7,13.7,6.85,86.6,"Rain, Partially cloudy"
2013-08-23,0.1,30.2,34.1,26.9,10.1,10.1,5.05,80.8,"Rain, Partially cloudy"
2013-08-24,0.0,31.6,35.8,28.0,14.8,14.8,7.4,75.7,Partially cloudy
2013-08-25,11.058,30.8,34.6,28.3,7.6,7.6,3.8,82.4,"Rain, Partially cloudy"
2013-08-26,0.1,31.4,35.9,26.1,14.7,14.7,7.35,78.4,"Rain, Partially cloudy"
2013-08-27,0.1,31.1,34.9,27.3,29.5,26.8,28.15,73.4,"Rain, Partially cloudy"
2013-08-28,0.0,29.5,32.6,27.0,15.0,15.0,7.5,72.0,Partially cloudy
2013-08-29,0.1,29.7,34.1,24.7,20.4,20.4,10.2,72.6,"Rain, Partially cloudy"
2013-08-30,16.162,28.7,31.8,25.7,14.8,14.8,7.4,81.5,"Rain, Partially cloudy"
2013-08-31,0.5,27.9,32.1,23.0,18.4,18.4,9.2,81.9,"Rain, Partially cloudy"
2013-09-01,0.0,28.8,34.4,23.5,22.7,22.7,11.35,76.5,Partially cloudy
2013-09-02,0.0,29.8,35.0,22.9,22.3,22.3,11.15,70.0,Partially cloudy
2013-09-03,0.0,30.7,35.2,26.0,24.3,24.3,12.15,63.4,Partially cloudy
2013-09-04,0.0,30.3,34.6,25.1,25.4,25.4,12.7,63.5,Partially cloudy
2013-09-05,0.0,30.2,35.0,25.0,24.5,24.5,12.25,60.5,Partially cloudy
2013-09-06,0.0,29.7,34.1,26.0,21.5,21.5,10.75,61.7,Clear
